index,0T0,1T0,2T0,3T0,4T0,5T0,0T1,1T1,2T1,3T1,4T1,5T1,0T2,1T2,2T2,3T2,4T2,5T2,0T3,1T3,2T3,3T3,4T3,5T3
0T0,,,,,,,,,,,,,,,,,,,,,,,,
1T0,,,,,,,,,,,,,,,,,,,,,,,,
2T0,,,,,,,,,,,,,,,,,,,,,,,,
3T0,,,,,,,,,,,,,,,,,,,,,,,,
4T0,,,,,,,,,,,,,,,,,,,,,,,,
5T0,,,,,,,,,,,,,,,,,,,,,,,,
0T1,,,,,,,,,,,,,,,,,,,,,,,,
1T1,,,,,,,,,,,,,,,,,,,,,,,,
2T1,,,,,,,,,,,,,,,,,,,,,,,,
3T1,,,,,,,,,,,,,,,,,,,,,,,,
4T1,,,,,,,,,,,,,,,,,,,,,,,,
5T1,,,,,,,,,,,,,,,,,,,,,,,,
0T2,,,,,,,,,,,,,,,,,,,,,,,,
1T2,,,,,,,,,,,,,,,,,,,,,,,,
2T2,,,,,,,,,,,,,,,,,,,,,,,,
3T2,,,,,,,,,,,,,,,,,,,,,,,,
4T2,,,,,,,,,,,,,,,,,,,,,,,,
5T2,,,,,,,,,,,,,,,,,,1,,,,,,
0T3,,,,,,,,,,,,,,,,,,,1,,,,,
1T3,,,,,,,,,,,,,,,,,,,,,,,,
2T3,,,,,,,,,,,,,,,,,,,,,,,,
3T3,,,,,,,,,,,,,,,,,2,,,,,,2,
4T3,,,,,,,,,,,,,,,,2,,,,,,2,,
5T3,,,,,,,,,,,,,,,,,,,,,,,,1
